group,label,value,profile,jitter,peak_tip_force_N_per_m,peak_root_force_N_per_m,peak_attachment_force_N_per_m,peak_tension_N_per_m,max_panel_curvature_ratio,time_of_peak_s,KE_at_deploy_end_J_per_m,final_tip_force_N_per_m,energy_balance_error,nodes_per_panel,dt_s,wall_time_s,diverged
Deployment time,7.5,7.5,smooth,0.97,812.7962468677565,859.2929312912734,859.2929312912734,857.9079509088272,8.093523357517757,6.8051387743829554,12.261861145582914,480.66817139754477,4.623008871375639e-7,20,7.902233527548187e-6,33.764251947402954,false
Deployment time,7.5,7.5,smooth,1.0,925.3089564553172,838.0622866824682,925.3089564553172,922.2830840397426,6.801799836256992,7.16539369867035,4.128621761474515,196.08025695774344,4.1560605076542526e-7,20,7.902233527548187e-6,37.9617600440979,false
Deployment time,7.5,7.5,smooth,1.03,868.7819377592018,852.0070530682,868.7819377592018,868.1597453261539,6.708771204144542,7.501333450393478,14.62057502554836,452.27625063937086,3.468183619429138e-7,20,7.902233527548187e-6,32.39640212059021,false
Deployment time,7.5,7.5,trapezoid,0.97,629.3872930865085,590.91528955581,629.3872930865085,626.9630547067665,5.830455266315263,6.9248260033912,6.969623481410976,243.79382219381577,5.784280358545688e-7,20,7.902233527548187e-6,33.42563009262085,false
Deployment time,7.5,7.5,trapezoid,1.0,628.2216172332108,563.7927927459579,628.2216172332108,623.7037397870048,5.585268349801516,7.151754443601801,7.2059246048688195,276.39324341593823,5.622925084379512e-7,20,7.902233527548187e-6,34.925567865371704,false
Deployment time,7.5,7.5,trapezoid,1.03,752.5101398005091,661.6577400234974,752.5101398005091,750.491820552927,5.540903511822601,7.567933474563654,6.467192707251669,367.91384870941357,3.9309602639927696e-7,20,7.902233527548187e-6,32.40419101715088,false
Deployment time,7.5,7.5,constant_then_stop,0.97,880.0240227534184,712.3956584052518,880.0240227534184,877.4914437056584,5.6463235495529025,7.340372855670848,10.423597315619435,141.15851925121257,2.3417152863933496e-5,20,7.902233527548187e-6,32.86258101463318,false
Deployment time,7.5,7.5,constant_then_stop,1.0,883.9595180033753,814.524074935394,883.9595180033753,881.4996263596429,5.508907185942418,7.562860240638969,10.793198728935705,252.5917641518707,7.77932193944011e-6,20,7.902233527548187e-6,34.52741098403931,false
Deployment time,7.5,7.5,constant_then_stop,1.03,1016.1365271777413,831.6956130666683,1016.1365271777413,1012.4608475884644,5.288614631732634,7.751850057683811,10.613102832583106,304.66657833210246,3.515516765619142e-5,20,7.902233527548187e-6,36.406550884246826,false
Deployment time,15,15.0,smooth,0.97,533.2357917166755,503.88915066783727,533.2357917166755,532.7272855110575,3.3108941045961915,13.927287514792166,3.5172541253821663,365.0942812378425,1.3232310220027092e-7,20,7.902233527548187e-6,46.11090803146362,false
Deployment time,15,15.0,smooth,1.0,470.1667028759328,465.35335616997395,470.1667028759328,469.7881987317505,3.291813687814922,15.301525436400436,4.374112686281849,323.57720722266833,1.2692113017037202e-7,20,7.902233527548187e-6,45.26940679550171,false
Deployment time,15,15.0,smooth,1.03,424.38641300391777,433.2403800375712,433.2403800375712,433.1002234115562,3.185183492280984,15.496244372752749,3.619223471319509,162.0953525383846,1.1661676700598898e-7,20,7.902233527548187e-6,84.40859413146973,false
Deployment time,15,15.0,trapezoid,0.97,491.7807191153661,500.48405679987525,500.48405679987525,499.69189127846596,2.867538421292909,14.672523452074653,5.125979219853897,269.8951949544255,1.7767148721269066e-7,20,7.902233527548187e-6,51.135947942733765,false
Deployment time,15,15.0,trapezoid,1.0,554.8465747645338,473.3417350261817,554.8465747645338,553.4959274944605,3.0637892227914567,14.710130181432255,4.758446569931673,272.46315178589225,1.737958120463782e-7,20,7.902233527548187e-6,56.78987383842468,false
Deployment time,15,15.0,trapezoid,1.03,472.43055056579607,480.3551613362927,480.3551613362927,479.62827151301644,2.8762720724077675,15.389184912921529,2.8393954287396905,243.32338658877347,1.5723532367732153e-7,20,7.902233527548187e-6,91.44487595558167,false
Deployment time,15,15.0,constant_then_stop,0.97,514.7595796707051,594.3507290425837,594.3507290425837,593.2061009536842,2.4544627158537375,14.730517943933332,5.284181226491399,113.06446914209855,2.4020458020440758e-5,20,7.902233527548187e-6,54.58168697357178,false
Deployment time,15,15.0,constant_then_stop,1.0,601.9482988022406,559.4001534685211,601.9482988022406,600.8884899022731,2.869910848755428,15.200716643289503,3.6788974304919386,366.09384719311697,3.4983663545107356e-5,20,7.902233527548187e-6,46.734559059143066,false
Deployment time,15,15.0,constant_then_stop,1.03,483.09247167930613,519.1351831080225,519.1351831080225,518.4933745956514,2.88566036173221,15.643865997280876,4.342940794497702,268.90787362324784,3.995112740495183e-5,20,7.902233527548187e-6,57.13835096359253,false
Deployment time,30,30.0,smooth,0.97,437.8872109339445,435.05635635361836,437.8872109339445,437.7318052953423,3.302500318168952,29.01127633024786,4.510653499521229,85.84266745491395,9.861520772441841e-8,20,7.902233527548187e-6,82.18380999565125,false
Deployment time,30,30.0,smooth,1.0,443.41171406438303,408.1205334428088,443.41171406438303,443.1659903149004,3.297519529072378,28.74354865833453,3.360196648497399,297.5042776472886,7.486763513328765e-8,20,7.902233527548187e-6,114.1510751247406,false
Deployment time,30,30.0,smooth,1.03,414.1260104260718,409.2698441756976,414.1260104260718,414.042190319113,3.2924618537479247,31.369294912634714,1.7387906483791384,179.91970599719622,5.12520282146334e-8,20,7.902233527548187e-6,39.371317863464355,false
Deployment time,30,30.0,trapezoid,0.97,256.07042509859,263.4663859832185,263.4663859832185,263.26207002504214,3.321536568681254,29.39827241279248,0.7216139823138645,172.4895566857198,8.044353283875841e-8,20,7.902233527548187e-6,73.02401494979858,false
Deployment time,30,30.0,trapezoid,1.0,203.50471932390198,201.34585093492788,203.50471932390198,203.42454827869787,3.3268886634286985,30.130366935718655,0.6416703957871605,110.81997997664777,4.2347562860608446e-8,20,7.902233527548187e-6,160.95921087265015,false
Deployment time,30,30.0,trapezoid,1.03,140.41477572916958,149.861533254572,149.861533254572,149.8299268391472,3.3301125716762208,30.83287549631769,0.6088728007503114,63.95119754140964,2.2931483622546975e-8,20,7.902233527548187e-6,36.99537706375122,false
Deployment time,30,30.0,constant_then_stop,0.97,237.28997311096566,259.6436470076476,259.6436470076476,259.445223516326,3.22131728916195,29.408039573432532,0.9560148978621381,220.36753669285716,1.907158531767268e-5,20,7.902233527548187e-6,86.84719395637512,false
Deployment time,30,30.0,constant_then_stop,1.0,260.4829445755306,251.12080653350554,260.4829445755306,260.36504871245694,3.251042311764614,30.478586758343596,1.536082369773704,127.090416417587,1.111582775894431e-6,20,7.902233527548187e-6,127.72452092170715,false
Deployment time,30,30.0,constant_then_stop,1.03,238.8842660673452,238.0338049662365,238.8842660673452,238.7520188127631,3.2782135037419327,31.025610972054587,1.3474365910851993,151.79427087775775,8.919949781513808e-6,20,7.902233527548187e-6,38.614245891571045,false
Deployment time,60,60.0,smooth,0.97,175.3483304268155,174.10820020862235,175.3483304268155,175.3369911670181,3.2120129168471503,59.893370902810254,0.5206761159737391,78.9196731876602,1.2894431630626992e-8,20,7.902233527548187e-6,66.80983996391296,false
Deployment time,60,60.0,smooth,1.0,142.89659520160492,142.4231458534879,142.89659520160492,142.87737695307598,3.2101630877577025,61.45418846023746,0.37510265049228003,77.69224570555453,1.1416908576580228e-8,20,7.902233527548187e-6,1918.1830410957336,false
