group,label,value,profile,n,peak_attachment_force_N_per_m_mean,peak_attachment_force_N_per_m_min,peak_attachment_force_N_per_m_max,peak_tip_force_N_per_m_mean,peak_tip_force_N_per_m_min,peak_tip_force_N_per_m_max,peak_tension_N_per_m_mean,peak_tension_N_per_m_min,peak_tension_N_per_m_max,max_panel_curvature_ratio_mean,max_panel_curvature_ratio_min,max_panel_curvature_ratio_max,KE_at_deploy_end_J_per_m_mean,KE_at_deploy_end_J_per_m_min,KE_at_deploy_end_J_per_m_max,final_tip_force_N_per_m_mean,final_tip_force_N_per_m_min,final_tip_force_N_per_m_max
Deployment time,7.5,7.5,smooth,3,884.4612751685976,859.2929312912734,925.3089564553172,868.9623803607586,812.7962468677565,925.3089564553172,882.7835934249078,857.9079509088272,922.2830840397426,7.20136479930643,6.708771204144542,8.093523357517757,10.337019310868596,4.128621761474515,14.62057502554836,376.34155966488635,196.08025695774344,480.66817139754477
Deployment time,7.5,7.5,trapezoid,3,670.0396833734095,628.2216172332108,752.5101398005091,670.0396833734095,628.2216172332108,752.5101398005091,667.0528716822328,623.7037397870048,750.491820552927,5.652209042646461,5.540903511822601,5.830455266315263,6.880913597843822,6.467192707251669,7.2059246048688195,296.03363810638916,243.79382219381577,367.91384870941357
Deployment time,7.5,7.5,constant_then_stop,3,926.7066893115116,880.0240227534184,1016.1365271777413,926.7066893115116,880.0240227534184,1016.1365271777413,923.8173058845886,877.4914437056584,1012.4608475884644,5.481281789075985,5.288614631732634,5.6463235495529025,10.609966292379415,10.423597315619435,10.793198728935705,232.8056205783952,141.15851925121257,304.66657833210246
Deployment time,15,15.0,smooth,3,478.8809582100598,433.2403800375712,533.2357917166755,475.9296358655087,424.38641300391777,533.2357917166755,478.53856921812144,433.1002234115562,532.7272855110575,3.262630428230699,3.185183492280984,3.3108941045961915,3.836863427661175,3.5172541253821663,4.374112686281849,283.5889469996318,162.0953525383846,365.0942812378425
Deployment time,15,15.0,trapezoid,3,511.8952643002339,480.3551613362927,554.8465747645338,506.3526148152319,472.43055056579607,554.8465747645338,510.93869676198096,479.62827151301644,553.4959274944605,2.9358665721640445,2.867538421292909,3.0637892227914567,4.24127373950842,2.8393954287396905,5.125979219853897,261.89391110969706,243.32338658877347,272.46315178589225
Deployment time,15,15.0,constant_then_stop,3,571.8114036509488,519.1351831080225,601.9482988022406,533.2667833840839,483.09247167930613,601.9482988022406,570.8626551505363,518.4933745956514,600.8884899022731,2.7366779754471255,2.4544627158537375,2.88566036173221,4.435339817160346,3.6788974304919386,5.284181226491399,249.35539665282113,113.06446914209855,366.09384719311697
Deployment time,30,30.0,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Deployment time,30,30.0,trapezoid,3,205.61087952056417,149.861533254572,263.4663859832185,199.99664005055388,140.41477572916958,256.07042509859,205.50551504762907,149.8299268391472,263.26207002504214,3.3261792679287243,3.321536568681254,3.3301125716762208,0.6573857262837787,0.6088728007503114,0.7216139823138645,115.75357806792574,63.95119754140964,172.4895566857198
Deployment time,30,30.0,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Deployment time,60,60.0,smooth,3,147.913557348439,125.49574641689661,175.3483304268155,147.913557348439,125.49574641689661,175.3483304268155,147.90013043518428,125.48602318545873,175.3369911670181,3.210225452911781,3.208500354130491,3.2120129168471503,0.40604052630751636,0.32234281245653,0.5206761159737391,83.07572571618975,77.69224570555453,92.61525825535453
